Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Augsburg,28,27.4,43.4,26,286,"2,340",26,29,21,50,28,1,2,67,2,25.7,24.1,18.2,42.4,344,863,1.12,0.81,1.92,1.08,1.88,0.99,0.7,1.69,0.93,1.63
Bayern Munich,27,28.4,69,26,286,"2,340",26,73,46,119,64,9,10,40,1,63.7,56,44.4,100.4,634,1646,2.81,1.77,4.58,2.46,4.23,2.45,1.71,4.16,2.15,3.86
Bochum,26,28.8,44,26,286,"2,340",26,26,19,45,25,1,2,56,1,32.1,30.6,23.7,54.3,288,798,1,0.73,1.73,0.96,1.69,1.24,0.91,2.15,1.18,2.09
Dortmund,28,27.2,61.1,26,286,"2,340",26,43,32,75,39,4,4,62,6,43.4,40.3,33.5,73.9,552,1242,1.65,1.23,2.88,1.5,2.73,1.67,1.29,2.96,1.55,2.84
Eint Frankfurt,26,25.7,49.6,26,286,"2,340",26,54,35,89,51,3,5,42,1,49,45.3,33.5,78.8,460,1041,2.08,1.35,3.42,1.96,3.31,1.88,1.29,3.17,1.74,3.03
Freiburg,26,27.9,47.9,26,286,"2,340",26,34,25,59,34,0,4,42,2,33.5,30.3,21.9,52.3,326,853,1.31,0.96,2.27,1.31,2.27,1.29,0.84,2.13,1.17,2.01
Gladbach,26,27.3,50.9,26,286,"2,340",26,42,32,74,39,3,4,45,3,40.4,37.2,31.2,68.3,416,886,1.62,1.23,2.85,1.5,2.73,1.56,1.2,2.76,1.43,2.63
Heidenheim,26,27.5,43.2,26,286,"2,340",26,31,21,52,27,4,4,50,1,32.1,28.9,22.3,51.3,396,732,1.19,0.81,2,1.04,1.85,1.23,0.86,2.09,1.11,1.97
Hoffenheim,34,27.1,49.8,26,286,"2,340",26,32,19,51,30,2,2,49,1,32.4,30.8,25.4,56.2,374,976,1.23,0.73,1.96,1.15,1.88,1.25,0.98,2.22,1.18,2.16
Holstein Kiel,27,26.2,44,26,286,"2,340",26,38,22,60,35,3,4,58,3,30.2,27,19.8,46.8,280,683,1.46,0.85,2.31,1.35,2.19,1.16,0.76,1.92,1.04,1.8
Leverkusen,23,27.7,58.8,26,286,"2,340",26,57,42,99,55,2,5,48,1,48.4,44.4,34.9,79.3,516,1313,2.19,1.62,3.81,2.12,3.73,1.86,1.34,3.21,1.71,3.05
Mainz 05,24,28.2,49,26,286,"2,340",26,42,30,72,39,3,3,59,4,37,34.7,28.1,62.8,344,955,1.62,1.15,2.77,1.5,2.65,1.42,1.08,2.5,1.33,2.41
RB Leipzig,29,26.4,51.9,26,286,"2,340",26,39,27,66,37,2,3,53,4,36.2,33.8,28.5,62.3,384,1012,1.5,1.04,2.54,1.42,2.46,1.39,1.1,2.49,1.3,2.4
St. Pauli,27,27.7,44.2,26,286,"2,340",26,19,17,36,18,1,2,37,1,27.5,25.9,21.6,47.5,320,829,0.73,0.65,1.38,0.69,1.35,1.06,0.83,1.89,1,1.83
Stuttgart,27,25.5,56.2,26,286,"2,340",26,44,31,75,42,2,5,59,3,44.7,40.8,31.2,72,399,1117,1.69,1.19,2.88,1.62,2.81,1.72,1.2,2.92,1.57,2.77
Union Berlin,27,27.8,41.4,26,286,"2,340",26,24,16,40,21,3,3,61,1,30,27.6,19.9,47.5,308,843,0.92,0.62,1.54,0.81,1.42,1.15,0.77,1.92,1.06,1.83
Werder Bremen,23,28.2,50.1,26,286,"2,340",26,39,29,68,37,2,4,58,4,36.1,33.5,27.5,61,371,1048,1.5,1.12,2.62,1.42,2.54,1.39,1.06,2.45,1.29,2.34
Wolfsburg,25,25.9,45,26,286,"2,340",26,47,32,79,43,4,5,63,2,37.5,33.4,25.6,59,347,892,1.81,1.23,3.04,1.65,2.88,1.44,0.98,2.42,1.28,2.2
