Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Augsburg,29,29,9444,12350,76.5,174216,69185,3991,4693,85,4259,5003,85.1,1014,1964,51.6,25,19.9,27.5,5.1,233,722,203,58,961
Bayern Munich,28,29,19651,22229,88.4,324433,101352,9786,10493,93.3,8204,8927,91.9,1331,2000,66.6,52,51.5,65.4,0.5,435,1844,402,64,1832
Bochum,26,29,8566,11879,72.1,169397,72689,3224,3901,82.6,3947,4873,81,1219,2388,51,21,26.7,31.3,-5.7,274,707,203,72,901
Dortmund,28,29,14554,17343,83.9,252945,84719,6606,7243,91.2,6469,7186,90,1202,2138,56.2,41,40.3,43.1,0.7,320,1140,272,78,1341
Eint Frankfurt,26,29,12036,14746,81.6,200617,73907,5812,6414,90.6,4946,5693,86.9,940,1854,50.7,38,38.2,38,-0.2,315,880,269,45,1166
Freiburg,26,29,11402,14450,78.9,203225,73300,4865,5582,87.2,5176,5973,86.7,1052,2067,50.9,29,26.1,31.3,2.9,251,835,217,67,990
Gladbach,26,29,12285,15140,81.1,212690,75436,5669,6338,89.4,5276,6077,86.8,1078,1950,55.3,33,32.8,30.2,0.2,262,734,234,73,946
Heidenheim,26,29,9407,12499,75.3,182870,70937,3482,4234,82.2,4498,5311,84.7,1231,2295,53.6,21,25.3,28,-4.3,254,708,201,76,844
Hoffenheim,34,29,11015,14186,77.6,192960,73751,4935,5648,87.4,4677,5608,83.4,1046,2094,50,22,28.1,34.2,-6.1,267,879,255,97,1043
Holstein Kiel,27,29,9253,12199,75.9,176989,69265,3546,4147,85.5,4467,5288,84.5,1094,2202,49.7,24,21,23.8,3,223,598,156,60,769
Leverkusen,23,29,15858,18659,85,260613,86821,8129,8841,91.9,6113,6912,88.4,1225,2060,59.5,46,37.8,45.6,8.2,344,1436,277,71,1491
Mainz 05,24,29,10702,14093,75.9,190924,73385,4865,5616,86.6,4501,5395,83.4,1097,2273,48.3,32,31.4,38.7,0.6,260,873,264,77,1112
RB Leipzig,29,29,12623,15651,80.7,212409,78384,5887,6712,87.7,5502,6390,86.1,934,1708,54.7,32,31.4,35,0.6,279,962,266,50,1142
St. Pauli,27,29,10098,13184,76.6,179312,68775,4374,5053,86.6,4464,5305,84.1,981,2059,47.6,20,24,25.3,-4,250,778,173,64,936
Stuttgart,28,29,13400,16248,82.5,225084,82435,6629,7331,90.4,5401,6186,87.3,1085,2004,54.1,36,36.7,41.9,-0.7,298,1075,295,72,1222
Union Berlin,28,29,8595,11831,72.6,154126,64745,3872,4584,84.5,3425,4313,79.4,990,2058,48.1,18,21.3,28.8,-3.3,259,676,223,70,906
Werder Bremen,23,29,11877,14913,79.6,211544,76551,4979,5701,87.3,5283,6159,85.8,1219,2127,57.3,34,30.9,36.2,3.1,271,796,295,84,1151
Wolfsburg,26,29,9906,12909,76.7,186552,69351,4060,4800,84.6,4398,5143,85.5,1215,2269,53.5,34,28.5,31.2,5.5,262,854,209,46,103
