Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Alavés,29,27.2,45.3,28,308,"2,520",28,32,17,49,26,6,7,77,4,32.4,26.9,19.4,46.2,337,851,1.14,0.61,1.75,0.93,1.54,1.16,0.69,1.85,0.96,1.65
Athletic Club,30,27.6,48.9,28,308,"2,520",28,46,36,82,44,2,5,50,3,42.5,38.6,29.2,67.8,524,1198,1.64,1.29,2.93,1.57,2.86,1.52,1.04,2.56,1.38,2.42
Atlético Madrid,24,29.1,51.3,28,308,"2,520",28,46,37,83,43,3,4,64,3,45.3,42.3,34.4,76.6,532,1117,1.64,1.32,2.96,1.54,2.86,1.62,1.23,2.84,1.51,2.74
Barcelona,27,25.3,66.8,27,297,"2,430",27,74,53,127,70,4,5,48,3,64.9,60.9,50,110.9,609,1516,2.74,1.96,4.7,2.59,4.56,2.4,1.85,4.25,2.26,4.11
Betis,35,28,52.3,28,308,"2,520",28,36,21,57,30,6,9,60,4,43.7,36.7,28.5,65.2,470,1072,1.29,0.75,2.04,1.07,1.82,1.56,1.02,2.58,1.31,2.33
Celta Vigo,30,27.7,53.8,28,308,"2,520",28,40,27,67,34,6,7,67,5,38.9,33.5,28.2,61.6,499,1201,1.43,0.96,2.39,1.21,2.18,1.39,1.01,2.39,1.19,2.2
Espanyol,26,26,38.7,27,297,"2,430",27,24,18,42,22,2,2,69,0,20.8,19.2,14.7,33.9,340,676,0.89,0.67,1.56,0.81,1.48,0.77,0.54,1.31,0.71,1.25
Getafe,30,28.2,42.4,28,308,"2,520",28,25,13,38,20,5,5,90,3,25.8,22,14.7,36.6,267,737,0.89,0.46,1.36,0.71,1.18,0.92,0.52,1.45,0.79,1.31
Girona,29,28,57.3,28,308,"2,520",28,35,26,61,31,4,5,63,2,32.7,28.9,23.2,52,559,1294,1.25,0.93,2.18,1.11,2.04,1.17,0.83,1.99,1.03,1.86
Las Palmas,30,27.8,50.4,28,308,"2,520",28,30,21,51,28,2,3,89,4,27.2,24.8,19.6,44.4,359,905,1.07,0.75,1.82,1,1.75,0.97,0.7,1.67,0.89,1.59
Leganés,25,28.6,42.2,28,308,"2,520",28,26,20,46,22,4,6,58,5,23.3,18.6,14.3,32.8,289,721,0.93,0.71,1.64,0.79,1.5,0.83,0.51,1.34,0.66,1.17
Mallorca,27,29.4,46.7,28,308,"2,520",28,27,18,45,23,4,5,59,6,32.8,28.9,22.1,51,377,895,0.96,0.64,1.61,0.82,1.46,1.17,0.79,1.96,1.03,1.82
Osasuna,23,28.1,47,27,297,"2,430",27,31,16,47,24,7,7,67,0,30.1,25.3,19.4,44.7,419,902,1.15,0.59,1.74,0.89,1.48,1.11,0.72,1.83,0.94,1.65
Rayo Vallecano,24,29.8,50.9,28,308,"2,520",28,29,23,52,29,0,0,69,3,34.3,34.3,27.9,62.2,420,993,1.04,0.82,1.86,1.04,1.86,1.23,1,2.22,1.23,2.22
Real Madrid,26,27.6,60.4,28,308,"2,520",28,59,42,101,51,8,10,44,3,53,45.5,38.3,83.8,707,1441,2.11,1.5,3.61,1.82,3.32,1.89,1.37,3.26,1.63,2.99
Real Sociedad,30,25.9,54.3,28,308,"2,520",28,24,18,42,22,2,2,66,4,30.1,28.6,23.5,52.1,494,1011,0.86,0.64,1.5,0.79,1.43,1.08,0.84,1.92,1.02,1.86
Sevilla,34,26.8,52,28,308,"2,520",28,29,25,54,28,1,2,75,5,29.4,27.8,20.7,48.5,449,851,1.04,0.89,1.93,1,1.89,1.05,0.74,1.79,0.99,1.73
Valencia,32,25.3,47.4,28,308,"2,520",28,31,20,51,28,3,3,59,1,31.5,29.1,22.8,51.9,425,992,1.11,0.71,1.82,1,1.71,1.12,0.81,1.94,1.04,1.85
Valladolid,32,26.2,43,28,308,"2,520",28,18,11,29,15,3,3,78,4,23.9,21.6,17.8,39.4,347,729,0.64,0.39,1.04,0.54,0.93,0.85,0.64,1.49,0.77,1.41
Villarreal,28,27.6,49.1,27,297,"2,430",27,47,30,77,42,5,7,71,2,47.8,42.1,35,77.2,507,1151,1.74,1.11,2.85,1.56,2.67,1.77,1.3,3.07,1.56,2.86
