Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Alavés,29,31,8697,12088,71.9,165931,70093,3719,4490,82.8,3699,4583,80.7,1098,2325,47.2,18,21.1,21.1,-3.1,234,792,189,88,965
Athletic Club,30,31,11459,14507,79,211938,75433,4684,5390,86.9,5482,6326,86.7,1152,2237,51.5,38,31,28.6,7,307,1101,237,81,1349
Atlético Madrid,24,30,13850,16758,82.6,231556,78757,6708,7458,89.9,5572,6381,87.3,1164,2006,58,38,35.4,33.2,2.6,260,957,269,71,1205
Barcelona,27,31,17786,20595,86.4,300755,94317,8118,8851,91.7,7926,8734,90.7,1293,1999,64.7,59,56,53.3,3,395,1568,383,63,1781
Betis,35,31,12598,15540,81.1,212141,73241,6018,6728,89.4,5116,5930,86.3,1064,1975,53.9,24,31.1,28,-7.1,337,889,257,65,1188
Celta Vigo,30,31,14846,17726,83.8,257840,85674,6387,7096,90,6939,7726,89.8,1166,2010,58,30,30.2,30.5,-0.2,268,1189,245,48,1368
Espanyol,26,30,8099,10790,75.1,153393,62058,3234,3792,85.3,3700,4391,84.3,996,2051,48.6,23,18.5,17.3,4.5,193,597,156,63,755
Getafe,30,31,7327,10800,67.8,141822,62278,3137,3867,81.1,2996,3935,76.1,1029,2390,43.1,18,18.4,18.7,-0.4,237,811,188,87,831
Girona,29,31,15190,17764,85.5,265813,82973,6744,7313,92.2,6940,7650,90.7,1253,2100,59.7,27,25.7,32.4,1.3,256,1209,268,74,1399
Las Palmas,30,31,11731,14833,79.1,207034,75855,5265,5971,88.2,5055,5896,85.7,1130,2224,50.8,26,22.8,22.6,3.2,251,882,211,70,999
Leganés,26,31,9063,12089,75,164206,62491,4012,4594,87.3,3849,4573,84.2,973,2275,42.8,21,17.3,16.5,3.7,174,618,147,35,829
Mallorca,28,31,10174,13117,77.6,188437,73553,4456,5067,87.9,4296,5093,84.4,1221,2312,52.8,21,23.8,24,-2.8,240,766,204,94,969
Osasuna,25,31,9623,12832,75,182426,74985,3991,4679,85.3,4219,5118,82.4,1195,2330,51.3,19,22.7,27.6,-3.7,231,765,207,97,980
Rayo Vallecano,26,31,11199,14419,77.7,199477,76982,5148,5851,88,4715,5510,85.6,1118,2356,47.5,24,29.6,24.9,-5.6,295,878,190,69,1101
Real Madrid,27,31,17540,19870,88.3,295380,91064,8454,9057,93.3,7215,7789,92.6,1432,2147,66.7,45,42.7,42.3,2.3,393,1443,288,23,1609
Real Sociedad,31,31,12046,15295,78.8,212029,74055,5518,6238,88.5,5042,5935,85,1185,2249,52.7,20,26.4,26,-6.4,240,902,206,53,1123
Sevilla,34,31,12018,14996,80.1,208592,72296,5699,6312,90.3,5109,5871,87,986,2162,45.6,26,22.9,18.5,3.1,282,862,158,42,932
Valencia,32,31,10997,14107,78,196387,68508,4958,5574,88.9,4821,5624,85.7,1046,2167,48.3,24,24.8,27.6,-0.8,233,917,196,73,1081
Valladolid,35,30,9537,12217,78.1,180896,67228,3834,4367,87.8,4413,5127,86.1,1116,2146,52,12,19,18.6,-7,201,602,136,74,774
Villarreal,29,30,11585,14276,81.2,209839,76458,4940,5549,89,5289,6077,87,1151,2022,56.9,34,38.3,37.5,-4.3,337,938,295,81,123
