Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Angers,25,28.3,42.4,26,286,"2,340",26,25,14,39,20,5,6,35,2,30,25.3,20.1,45.4,384,746,0.96,0.54,1.5,0.77,1.31,1.16,0.77,1.93,0.97,1.75
Auxerre,28,26.6,42,26,286,"2,340",26,37,26,63,33,4,5,49,4,33.2,29.5,24.6,54.1,365,842,1.42,1,2.42,1.27,2.27,1.28,0.95,2.22,1.14,2.08
Brest,29,28.8,48.7,26,286,"2,340",26,38,22,60,31,7,9,46,2,36.2,29.2,22.5,51.6,355,864,1.46,0.85,2.31,1.19,2.04,1.39,0.86,2.26,1.12,1.99
Le Havre,31,27.5,42.2,26,286,"2,340",26,24,15,39,19,5,6,48,4,29.5,24.6,17.9,42.5,398,803,0.92,0.58,1.5,0.73,1.31,1.13,0.69,1.82,0.95,1.63
Lens,32,27.8,53.6,26,286,"2,340",26,29,17,46,25,4,4,66,7,39.5,36.5,27,63.5,419,1113,1.12,0.65,1.77,0.96,1.62,1.52,1.04,2.56,1.4,2.44
Lille,27,26.5,58.2,26,286,"2,340",26,40,22,62,34,6,9,63,1,43.6,37.3,28.4,65.6,531,1277,1.54,0.85,2.38,1.31,2.15,1.68,1.09,2.77,1.43,2.52
Lyon,27,28.2,56,26,286,"2,340",26,47,36,83,43,4,6,43,0,45.7,41,34.1,75.1,494,1249,1.81,1.38,3.19,1.65,3.04,1.76,1.31,3.07,1.58,2.89
Marseille,32,27.3,63.6,26,286,"2,340",26,52,35,87,46,6,7,51,6,48.2,42.6,34,76.6,510,1282,2,1.35,3.35,1.77,3.12,1.85,1.31,3.16,1.64,2.95
Monaco,28,25,56,26,286,"2,340",26,51,40,91,47,4,4,48,3,58.9,55.9,45.6,101.5,514,1301,1.96,1.54,3.5,1.81,3.35,2.26,1.75,4.02,2.15,3.9
Montpellier,35,27.3,44.8,25,275,"2,295",25.5,21,12,33,18,3,4,73,6,28.7,25.6,19.8,45.4,406,787,0.82,0.47,1.29,0.71,1.18,1.13,0.77,1.9,1.01,1.78
Nantes,30,27.3,39.9,26,286,"2,340",26,29,21,50,25,4,4,53,3,32,28.9,22.7,51.6,384,836,1.12,0.81,1.92,0.96,1.77,1.23,0.87,2.1,1.11,1.98
Nice,29,27,46.8,26,286,"2,340",26,46,31,77,41,5,5,47,4,46.2,42.3,32,74.3,522,961,1.77,1.19,2.96,1.58,2.77,1.78,1.23,3.01,1.63,2.86
Paris S-G,24,24.4,67.7,26,286,"2,340",26,70,54,124,66,4,4,30,0,69.5,66.3,55.9,122.2,718,1580,2.69,2.08,4.77,2.54,4.62,2.67,2.15,4.82,2.55,4.7
Reims,33,25.4,45.6,26,286,"2,340",26,25,12,37,24,1,2,56,5,29.1,27.5,19.1,46.6,469,944,0.96,0.46,1.42,0.92,1.38,1.12,0.74,1.85,1.06,1.79
Rennes,35,26,50.2,26,286,"2,340",26,35,19,54,30,5,7,55,2,35.2,30.1,20.2,50.2,507,1104,1.35,0.73,2.08,1.15,1.88,1.35,0.78,2.13,1.16,1.93
Saint-Étienne,32,26.4,46.1,25,275,"2,295",25.5,25,17,42,22,3,3,50,2,26.9,24.6,18.4,42.9,398,864,0.98,0.67,1.65,0.86,1.53,1.06,0.72,1.78,0.96,1.68
Strasbourg,30,22.1,50.2,26,286,"2,340",26,40,31,71,38,2,2,56,1,38.4,36.9,29.5,66.3,426,916,1.54,1.19,2.73,1.46,2.65,1.48,1.13,2.61,1.42,2.55
Toulouse,27,25.8,45.7,26,286,"2,340",26,31,23,54,28,3,4,41,1,38.3,35.1,26.6,61.7,423,934,1.19,0.88,2.08,1.08,1.96,1.47,1.02,2.5,1.35,2.3
