Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Angers,25,29,9510,12061,78.8,166434,63445,4309,4886,88.2,4114,4851,84.8,860,1693,50.8,15,21.7,20.1,-6.7,189,661,179,58,821
Auxerre,29,29,9132,11868,76.9,168426,65793,3950,4547,86.9,3813,4485,85,1115,2169,51.4,28,28,21.1,0,261,689,182,57,937
Brest,29,29,10560,13462,78.4,196712,71955,4417,5071,87.1,4603,5388,85.4,1292,2338,55.3,28,24.9,25.7,3.1,254,787,166,56,945
Le Havre,31,29,9454,12008,78.7,172814,61169,3840,4415,87,4436,5136,86.4,966,1824,53,16,21,22.2,-5,201,663,168,70,903
Lens,33,29,12617,15534,81.2,208280,74805,6253,7028,89,4909,5679,86.4,1047,1863,56.2,18,30.9,35.9,-12.9,311,984,316,89,1264
Lille,27,29,14281,16789,85.1,249183,79535,6244,6908,90.4,6542,7221,90.6,1167,1860,62.7,24,30,35,-6,272,1191,294,66,1378
Lyon,28,29,13662,16245,84.1,225337,76197,6718,7404,90.7,5697,6363,89.5,928,1684,55.1,39,38,43.9,1,288,1061,310,48,1383
Marseille,32,29,17742,20195,87.9,281006,87691,8921,9579,93.1,7473,8179,91.4,885,1527,58,37,36.7,36.6,0.3,319,1313,282,58,1478
Monaco,28,29,12521,15409,81.3,210680,77830,5934,6722,88.3,5328,6108,87.2,967,1825,53,44,49.6,46.8,-5.6,344,1071,340,48,1431
Montpellier,35,29,9551,12172,78.5,179023,65950,3954,4565,86.6,4114,4795,85.8,1233,2158,57.1,12,21.1,21.3,-9.1,228,747,146,68,909
Nantes,30,28,8805,11273,78.1,158901,62054,3790,4309,88,3897,4496,86.7,912,1868,48.8,24,23.4,21.6,0.6,216,722,183,72,875
Nice,31,29,11276,13818,81.6,189808,71355,5478,6117,89.6,4693,5414,86.7,878,1642,53.5,35,35.5,34.2,-0.5,309,822,278,58,1123
Paris S-G,25,28,19000,21216,89.6,313768,89898,9048,9664,93.6,8137,8740,93.1,1347,1895,71.1,58,59.5,49.8,-1.5,433,1483,353,61,1710
Reims,34,29,9871,12405,79.6,173611,64927,4456,5037,88.5,4173,4823,86.5,960,1868,51.4,17,22.3,24.2,-5.3,234,741,192,65,1009
Rennes,35,29,11805,14436,81.8,207144,72541,5164,5836,88.5,5290,6039,87.6,1061,1841,57.6,26,24.2,26.3,1.8,271,914,237,57,1237
Saint-Étienne,32,29,10712,13226,81,178433,65850,5196,5798,89.6,4462,5114,87.3,785,1650,47.6,21,20,21.9,1,213,818,181,27,988
Strasbourg,30,29,12267,14677,83.6,212952,74703,5296,5848,90.6,5917,6648,89,856,1632,52.5,37,33.2,26.6,3.8,230,739,176,44,998
Toulouse,27,29,9991,12739,78.4,173876,64116,4425,5091,86.9,4538,5291,85.8,801,1692,47.3,28,29.7,31.2,-1.7,256,740,239,53,105
