Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,24,32,14027,16743,83.8,229871,73114,7081,7750,91.4,5810,6544,88.8,883,1734,50.9,44,37.9,37.8,6.1,348,1151,358,63,1530
Aston Villa,28,32,12716,15319,83,216835,74781,5878,6511,90.3,5691,6386,89.1,896,1690,53,38,35.7,31.8,2.3,305,981,271,50,1141
Bournemouth,28,31,10303,13552,76,187776,71266,4452,5174,86,4526,5367,84.3,1121,2337,48,37,38.6,30.6,-1.6,377,1023,279,81,1222
Brentford,28,32,11332,14508,78.1,207010,79308,4990,5756,86.7,4912,5803,84.6,1211,2289,52.9,33,34.4,32,-1.4,272,932,275,75,1147
Brighton,31,32,13317,16151,82.5,227468,77512,6376,7049,90.5,5531,6319,87.5,1131,2043,55.4,31,34.1,32.5,-3.1,312,993,288,77,1296
Chelsea,29,32,15610,18378,84.9,269556,84673,6986,7619,91.7,7133,7888,90.4,1182,2134,55.4,42,46.9,37.3,-4.9,408,1298,305,64,1375
Crystal Palace,29,31,10003,13219,75.7,180256,67195,4350,5077,85.7,4508,5380,83.8,948,2106,45,31,36.2,27.6,-5.2,308,753,219,55,974
Everton,26,32,9346,12398,75.4,176687,70592,4150,4820,86.1,3739,4456,83.9,1271,2446,52,20,26.6,23.3,-6.6,259,842,219,72,865
Fulham,26,31,13343,16277,82,238327,80022,5882,6564,89.6,5977,6759,88.4,1238,2224,55.7,39,32.1,28.9,6.9,323,1091,260,80,1261
Ipswich Town,32,32,9755,12565,77.6,173248,65897,4398,4988,88.2,4292,5040,85.2,874,1877,46.6,24,20.9,18.3,3.1,235,740,141,42,795
Leicester City,30,32,11856,14890,79.6,198602,71675,5737,6420,89.4,4898,5650,86.7,912,1999,45.6,21,22,21.7,-1,217,847,191,60,942
Liverpool,24,32,15439,18360,84.1,262513,88288,7344,8009,91.7,6573,7422,88.6,1190,2132,55.8,56,51.1,44.4,4.9,422,1345,369,69,1610
Manchester City,29,32,18177,20586,88.3,294020,82934,9403,10124,92.9,7486,8162,91.7,1041,1651,63.1,44,46.8,45.4,-2.8,406,1398,367,54,1619
Manchester Utd,30,32,14052,17078,82.3,231485,75234,6895,7652,90.1,5715,6486,88.1,1027,2027,50.7,24,31.4,28.8,-7.4,327,937,263,60,1170
Newcastle Utd,24,31,12324,15204,81.1,206686,73853,6053,6782,89.3,5115,5853,87.4,916,1847,49.6,41,38.2,34.1,2.8,316,907,296,55,1240
Nott'ham Forest,23,32,8903,11870,75,151827,61899,4467,5107,87.5,3241,4032,80.4,852,1950,43.7,36,28.6,25.3,7.4,289,779,199,49,925
Southampton,35,32,13488,16057,84,228209,73547,6353,6969,91.2,5831,6490,89.8,988,1889,52.3,14,22.1,20.8,-8.1,237,864,193,54,996
Tottenham,31,32,14677,17573,83.5,242148,82196,6876,7618,90.3,6450,7233,89.2,939,1726,54.4,44,39.6,32.9,4.4,343,1141,337,73,1437
West Ham,27,32,12105,15119,80.1,213383,75688,5640,6374,88.5,5133,5911,86.8,1145,2183,52.5,20,28.5,26.5,-8.5,281,897,225,62,1017
Wolves,29,32,11792,14679,80.3,202163,69339,5540,6180,89.6,4846,5532,87.6,1047,2107,49.7,36,30.3,22.3,5.7,265,851,236,60,995
