Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Atalanta,32,32,14797,17784,83.2,257772,82081,6648,7386,90,6593,7483,88.1,1270,2127,59.7,44,37.8,38.6,6.2,351,1160,317,95,1510
Bologna,30,32,13381,16472,81.2,251474,83301,5250,5911,88.8,6434,7296,88.2,1465,2564,57.1,38,29.3,25.8,8.7,325,1158,254,91,1257
Cagliari,26,32,10331,13475,76.7,186509,75313,4526,5212,86.8,4614,5477,84.2,1020,2108,48.4,24,26.9,25.1,-2.9,260,788,206,78,990
Como,38,32,13327,16099,82.8,225577,79557,6345,6982,90.9,5501,6210,88.6,1105,2014,54.9,30,29.9,24.9,0.1,336,924,232,52,1118
Empoli,34,31,8184,11283,72.5,149962,60298,3308,4005,82.6,3674,4486,81.9,921,2053,44.9,14,19,15.6,-5,213,629,162,54,795
Fiorentina,34,32,11638,14440,80.6,214784,75998,4745,5344,88.8,5333,6124,87.1,1294,2264,57.2,31,28.5,23.4,2.5,276,794,198,61,1042
Genoa,34,32,10190,13338,76.4,186993,69473,4096,4786,85.6,4792,5651,84.8,1045,2126,49.2,21,23.6,19.5,-2.6,249,643,176,64,860
Hellas Verona,32,32,8319,11292,73.7,151448,58721,3693,4326,85.4,3495,4185,83.5,909,2126,42.8,17,22.4,17.9,-5.4,242,696,162,52,843
Inter,25,32,16220,18894,85.8,287815,90731,6946,7609,91.3,7496,8289,90.4,1487,2236,66.5,53,42.8,42.7,10.2,382,1164,347,100,1475
Juventus,29,32,16171,18673,86.6,280576,84793,7341,7962,92.2,7301,7978,91.5,1263,2059,61.3,32,29.9,28.3,2.1,328,1217,260,60,1336
Lazio,27,32,13560,16141,84,245350,80297,5729,6307,90.8,6241,6953,89.8,1346,2222,60.6,38,31.5,27.8,6.5,332,1084,254,74,1274
Lecce,31,32,10073,13084,77,187199,70763,4217,4857,86.8,4390,5177,84.8,1251,2390,52.3,18,21.3,18,-3.3,278,721,197,84,910
Milan,34,32,13638,16011,85.2,241689,80482,5801,6420,90.4,6498,7172,90.6,1120,1853,60.4,36,40.2,34.1,-4.2,384,1062,294,70,1407
Monza,35,32,11653,14447,80.7,212774,73264,4825,5456,88.4,5382,6132,87.8,1214,2175,55.8,16,16.9,15.5,-0.9,203,726,165,62,914
Napoli,27,31,13408,15980,83.9,235775,78049,5895,6547,90,6041,6745,89.6,1200,1927,62.3,32,31.1,28.2,0.9,313,1002,255,58,1272
Parma,32,32,11013,13767,80,196105,72115,4729,5376,88,4941,5679,87,1042,2027,51.4,26,24.3,19.6,1.7,278,783,188,52,946
Roma,28,32,14670,17448,84.1,255222,81161,6475,7150,90.6,6600,7331,90,1240,2190,56.6,28,29.4,28.3,-1.4,328,1080,269,68,1283
Torino,28,32,11444,14333,79.8,209094,72086,4794,5497,87.2,5244,5971,87.8,1180,2237,52.7,21,18.4,21.2,2.6,225,797,199,66,932
Udinese,30,32,11070,13872,79.8,204391,70117,4520,5125,88.2,4968,5756,86.3,1308,2295,57,24,22.1,21.1,1.9,255,817,207,93,979
Venezia,36,32,9680,12696,76.2,168404,64393,4311,4997,86.3,4301,5125,83.9,819,1839,44.5,13,17.5,17.6,-4.5,234,662,182,49,886
